2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;16;25;13;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;16;25;13;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;16;25;13;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;16;25;13;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;16;25;13;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;16;25;13;0
13;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;99;104;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;99;104;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;99;104;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;99;104;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;99;104;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;99;104;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;99;104;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;99;104;22;0
0;0;0;0;0;0;1;1;12;0;0;0;0;0;3;0;99;104;22;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;40;4;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;40;4;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;40;4;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;40;4;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;6;7;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;8;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;8;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;8;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;6;8;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;9;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;9;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;6;9;7;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;6;9;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;99;104;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;4;4;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;4;4;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;4;4;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;4;4;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;99;104;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;4;0
0;0;0;0;0;0;1;1;12;0;0;0;0;0;3;0;0;10;4;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;10;4;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;11;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;11;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;11;7;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;17;17;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;17;17;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;17;17;0
2;0;0;0;0;0;3;3;33;0;0;0;0;0;2;0;0;10;4;0
0;0;0;0;0;0;3;3;21;0;0;0;0;0;4;0;0;10;4;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;10;4;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;10;4;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;10;4;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;18;10;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;18;10;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;18;10;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;18;10;0
9;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;48;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;48;22;0
0;0;0;0;0;0;4;4;57;0;0;0;0;0;1;0;0;48;22;0
0;0;0;0;0;0;3;3;42;0;0;0;0;0;1;0;0;48;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;48;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;48;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;48;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;0;0;48;22;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;48;22;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;48;22;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;48;22;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;48;22;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;48;22;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;48;22;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;48;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;19;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;19;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;19;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;19;12;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;27;20;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;27;20;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;27;20;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;27;20;0
0;0;0;0;0;0;1;1;2;0;0;0;0;0;12;0;1;27;20;0
3;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;27;20;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;10;5;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;10;5;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;35;23;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;35;23;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;35;23;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;35;23;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;35;23;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;35;23;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;35;23;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;35;23;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;35;23;0
0;0;0;0;0;0;0;0;0;0;0;0;0;5;10;0;1;35;23;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;53;28;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;53;28;0
0;0;0;0;0;0;1;1;16;0;0;0;0;0;2;0;1;53;28;0
0;0;0;0;0;0;1;1;16;0;0;0;0;0;2;0;1;53;28;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;53;28;0
0;0;0;0;0;0;1;1;12;0;0;0;0;0;2;0;1;53;28;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;53;28;0
0;0;0;0;0;0;1;1;12;0;0;0;0;0;2;0;1;53;28;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;53;28;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;53;28;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;1;53;28;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;53;28;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;53;28;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;53;28;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;53;28;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;14;22;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;14;22;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;14;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;3;18;0;6;14;22;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;14;22;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;24;3;0
4;4;0;0;0;0;0;0;0;0;0;0;0;31;3;0;2;18;12;0
4;2;0;0;0;1;0;0;0;0;0;0;0;40;2;0;2;18;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;18;12;0
11;4;0;0;0;0;0;0;0;0;0;0;0;18;4;0;2;18;12;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;18;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;7;24;3;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;7;4;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;7;4;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;6;3;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;10;5;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;10;5;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;19;52;17;0
0;0;0;0;0;0;1;1;20;0;0;0;0;0;2;0;19;52;17;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;19;52;17;0
0;0;0;0;0;0;1;1;16;0;0;0;0;0;3;0;19;52;17;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;19;52;17;0
0;0;0;0;0;0;1;1;10;0;0;0;0;0;3;0;19;52;17;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;19;52;17;0
0;0;0;0;0;0;1;1;20;0;0;0;0;0;2;0;19;52;17;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;19;52;17;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;16;6;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;16;6;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;16;6;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;16;6;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;16;6;0
0;0;0;0;0;0;0;0;0;0;0;0;0;63;1;1;6;16;6;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;19;52;17;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;19;52;17;0
2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;19;52;17;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;19;52;17;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;17;9;0
0;0;0;0;0;0;1;1;14;0;0;0;0;0;4;0;1;17;9;0
0;0;0;0;0;0;0;0;0;0;0;0;0;30;4;0;1;17;9;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;17;9;0
4;1;0;0;0;0;2;2;18;0;0;0;0;31;2;0;1;17;7;0
0;0;0;0;0;0;1;1;25;0;0;0;0;0;1;0;1;17;7;0
0;0;0;0;0;0;1;1;25;0;0;0;0;0;1;0;1;17;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;17;7;0
0;0;0;0;0;0;2;2;11;0;0;0;0;22;4;0;1;17;7;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;17;7;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;17;7;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;17;7;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;17;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;2;0
4;0;0;0;0;0;1;23;76;1;9;1;0;16;7;0;4;20;16;0
2;2;0;0;0;0;1;1;5;0;0;0;0;39;3;0;4;20;16;0
1;0;0;0;0;0;1;1;50;0;0;0;0;0;1;0;4;20;16;0
1;0;0;0;0;0;1;1;50;0;0;0;0;0;1;0;4;20;16;0
2;1;0;0;0;0;0;0;0;0;0;0;0;20;4;0;4;20;16;0
3;0;0;0;0;0;1;0;0;1;9;1;0;28;4;0;4;20;16;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;4;20;16;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;4;20;16;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;4;20;16;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;12;9;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;12;9;0
0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;1;12;9;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;49;25;1;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;39;23;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;39;23;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;39;23;12;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;39;23;12;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;39;23;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;39;23;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;39;23;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;39;23;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;39;23;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;39;23;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;39;23;12;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;3;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;25;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;25;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;25;12;0
0;0;0;0;0;0;1;1;5;0;0;0;0;0;7;0;0;25;12;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;25;12;0
1;0;0;0;0;0;0;0;0;0;0;0;0;11;4;0;0;12;6;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;0;0;12;6;0
0;0;0;0;0;0;1;1;14;0;0;0;0;0;4;0;1;18;10;0
0;0;0;0;0;0;1;1;14;0;0;0;0;0;3;0;1;18;10;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;18;10;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;18;10;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;18;10;0
4;0;1;0;0;0;0;0;0;0;0;0;0;9;6;0;0;21;11;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;21;11;0
0;0;0;0;0;0;0;0;0;0;0;0;0;5;10;0;0;21;11;0
0;0;0;0;0;0;1;3;33;0;0;0;0;0;4;0;1;19;11;0
0;0;0;0;0;0;1;1;16;0;0;0;0;0;3;0;1;19;11;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;19;11;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;19;11;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;19;11;0
2;0;0;0;0;0;0;0;0;0;0;0;0;23;4;0;0;23;10;0
0;0;0;0;0;0;1;1;20;0;0;0;0;0;2;0;0;23;10;0
0;0;0;0;0;0;1;1;20;0;0;0;0;0;2;0;0;23;10;0
0;0;0;0;0;0;0;0;0;0;0;0;0;20;6;0;0;23;10;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;23;10;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;23;10;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;5;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;5;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;4;0
0;0;0;0;0;0;1;5;50;0;2;0;0;0;3;0;0;10;4;0
0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;10;4;0
0;0;0;0;0;0;3;3;25;4;0;0;0;0;4;0;0;8;4;0
2;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;8;4;0
0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;8;4;0
0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;8;4;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;10;5;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;10;5;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;12;6;0
0;0;0;0;0;0;2;2;10;0;2;0;0;0;6;0;0;12;6;0
0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;1;1;3;0;0;0;0;22;7;0;3;28;12;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;28;12;0
0;0;0;0;0;0;3;3;7;0;0;0;0;35;11;0;3;28;12;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;8;2;0
1;0;0;0;0;0;1;1;50;0;0;0;0;0;1;0;1;8;2;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;28;12;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;28;12;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;28;12;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;8;2;0
9;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0;0;46;25;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;46;25;0
0;0;0;0;0;0;1;1;20;0;0;0;0;0;1;0;0;46;25;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;46;25;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;46;25;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;46;25;0
0;0;0;0;0;0;1;1;20;0;0;0;0;0;1;0;0;46;25;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;46;25;0
0;0;0;0;0;0;1;1;10;0;0;0;0;0;4;0;0;46;25;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;46;25;0
0;0;0;0;0;0;1;1;20;0;0;0;0;0;1;0;0;46;25;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;46;25;0
0;0;0;0;0;0;0;0;0;0;0;0;0;2;11;0;0;46;25;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;46;25;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;46;25;0
2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;46;25;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;46;25;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;13;8;0
0;0;0;0;0;0;1;1;7;0;2;0;0;0;7;0;0;13;8;0
1;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0;13;8;0
1;0;0;0;0;0;0;0;0;0;0;0;0;23;4;0;9;33;8;0
0;0;0;0;0;0;0;0;0;0;0;0;0;20;5;0;9;33;8;0
0;0;0;0;0;0;0;0;0;0;0;0;0;60;3;0;9;33;8;0
6;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;9;0
14;8;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;10;9;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;9;0
3;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;10;9;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;20;2;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;20;2;0
0;0;0;0;0;0;1;1;14;0;0;0;0;12;3;0;0;8;3;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;8;3;0
0;0;0;0;0;0;1;1;16;0;0;0;0;0;3;0;0;6;3;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;6;3;0
0;0;0;0;0;0;3;3;25;4;0;0;0;0;4;0;0;10;4;0
2;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;10;4;0
0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;10;4;0
0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;10;4;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;7;5;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;7;5;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;43;21;0
0;0;0;0;0;0;1;1;20;0;0;0;0;0;1;0;0;43;21;0
0;0;0;0;0;0;1;1;16;0;0;0;0;0;2;0;0;43;21;0
0;0;0;0;0;0;2;2;9;0;0;0;0;0;7;0;0;43;21;0
0;0;0;0;0;0;1;1;20;0;0;0;0;0;1;0;0;43;21;0
0;0;0;0;0;0;1;1;16;0;0;0;0;0;2;0;0;43;21;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;43;21;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;43;21;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;43;21;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;43;21;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;43;21;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;43;21;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;43;21;0
0;0;0;0;0;0;1;1;16;0;0;0;0;0;3;0;1;12;6;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;12;6;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;12;6;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;98;42;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;2;2;33;0;0;0;0;0;2;0;0;12;6;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;2;2;33;2;0;0;0;0;2;0;0;12;6;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;3;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;3;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;2;2;33;0;0;0;0;0;2;0;0;12;6;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;2;2;33;2;0;0;0;0;2;0;0;12;6;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;12;6;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;16;9;0
0;0;0;0;0;0;2;2;25;1;0;0;0;0;4;0;1;16;9;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;16;9;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;16;9;0
0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;1;16;9;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;16;9;0
1;0;0;0;0;0;1;1;2;0;0;0;0;0;8;0;0;11;9;0
0;0;0;0;0;0;1;1;2;0;0;0;0;0;9;0;0;11;9;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;11;9;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;19;8;0
2;0;0;0;0;0;0;0;0;0;0;0;0;14;3;0;1;19;8;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;19;8;0
0;0;0;0;0;0;0;0;0;0;0;0;0;11;4;0;1;19;8;0
5;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;14;7;0
